execute-api;InvalidateCache,Invoke,ManageConnections,execute-api-general,execute-api-domain,execute-api:viaDomainArn
apigateway;AddCertificateToDomain,CreateAccessAssociation,DELETE,GET,PATCH,POST,PUT,RejectAccessAssociation,RemoveCertificateFromDomain,SetWebACL,UpdateDomainNameManagementPolicy,UpdateDomainNamePolicy,UpdateRestApiPolicy,Account,ApiKey,ApiKeys,Authorizer,Authorizers,BasePathMapping,BasePathMappings,ClientCertificate,ClientCertificates,Deployment,Deployments,DocumentationPart,DocumentationParts,DocumentationVersion,DocumentationVersions,DomainName,DomainNames,DomainNameAccessAssociation,DomainNameAccessAssociations,GatewayResponse,GatewayResponses,Integration,IntegrationResponse,Method,MethodResponse,Model,Models,PrivateBasePathMapping,PrivateBasePathMappings,PrivateDomainName,RequestValidator,RequestValidators,Resource,Resources,RestApi,RestApis,Sdk,Stage,Stages,Template,UsagePlan,UsagePlans,UsagePlanKey,UsagePlanKeys,VpcLink,VpcLinks,Tags,apigateway:Request/AccessAssociationSource,apigateway:Request/AccessLoggingDestination,apigateway:Request/AccessLoggingFormat,apigateway:Request/ApiKeyRequired,apigateway:Request/ApiName,apigateway:Request/AuthorizerType,apigateway:Request/AuthorizerUri,apigateway:Request/CognitoUserPoolProviderArn,apigateway:Request/DisableExecuteApiEndpoint,apigateway:Request/DomainNameArn,apigateway:Request/EndpointType,apigateway:Request/MtlsTrustStoreUri,apigateway:Request/MtlsTrustStoreVersion,apigateway:Request/RouteAuthorizationType,apigateway:Request/RoutingMode,apigateway:Request/SecurityPolicy,apigateway:Request/StageName,apigateway:Resource/AccessLoggingDestination,apigateway:Resource/AccessLoggingFormat,apigateway:Resource/ApiKeyRequired,apigateway:Resource/ApiName,apigateway:Resource/AuthorizerType,apigateway:Resource/AuthorizerUri,apigateway:Resource/CognitoUserPoolProviderArn,apigateway:Resource/DisableExecuteApiEndpoint,apigateway:Resource/EndpointType,apigateway:Resource/MtlsTrustStoreUri,apigateway:Resource/MtlsTrustStoreVersion,apigateway:Resource/RouteAuthorizationType,apigateway:Resource/RoutingMode,apigateway:Resource/SecurityPolicy,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
apigateway;CreateRoutingRule,DELETE,DeleteRoutingRule,GET,GetRoutingRule,ListRoutingRules,PATCH,POST,PUT,UpdateRoutingRule,AccessLogSettings,Api,Apis,ApiMapping,ApiMappings,Authorizer,Authorizers,AuthorizersCache,Cors,Deployment,Deployments,ExportedAPI,Integration,Integrations,IntegrationResponse,IntegrationResponses,Model,Models,ModelTemplate,Route,Routes,RouteResponse,RouteResponses,RouteRequestParameter,RouteSettings,RoutingRule,Stage,Stages,VpcLink,VpcLinks,apigateway:Request/AccessLoggingDestination,apigateway:Request/AccessLoggingFormat,apigateway:Request/ApiKeyRequired,apigateway:Request/ApiName,apigateway:Request/AuthorizerType,apigateway:Request/AuthorizerUri,apigateway:Request/ConditionBasePaths,apigateway:Request/DisableExecuteApiEndpoint,apigateway:Request/EndpointType,apigateway:Request/MtlsTrustStoreUri,apigateway:Request/MtlsTrustStoreVersion,apigateway:Request/Priority,apigateway:Request/RouteAuthorizationType,apigateway:Request/RoutingMode,apigateway:Request/SecurityPolicy,apigateway:Request/StageName,apigateway:Resource/AccessLoggingDestination,apigateway:Resource/AccessLoggingFormat,apigateway:Resource/ApiKeyRequired,apigateway:Resource/ApiName,apigateway:Resource/AuthorizerType,apigateway:Resource/AuthorizerUri,apigateway:Resource/ConditionBasePaths,apigateway:Resource/DisableExecuteApiEndpoint,apigateway:Resource/EndpointType,apigateway:Resource/MtlsTrustStoreUri,apigateway:Resource/MtlsTrustStoreVersion,apigateway:Resource/Priority,apigateway:Resource/RouteAuthorizationType,apigateway:Resource/RoutingMode,apigateway:Resource/SecurityPolicy,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
appmesh;CreateGatewayRoute,CreateMesh,CreateRoute,CreateVirtualGateway,CreateVirtualNode,CreateVirtualRouter,CreateVirtualService,DeleteGatewayRoute,DeleteMesh,DeleteMeshPolicy,DeleteRoute,DeleteVirtualGateway,DeleteVirtualNode,DeleteVirtualRouter,DeleteVirtualService,DescribeGatewayRoute,DescribeMesh,DescribeRoute,DescribeVirtualGateway,DescribeVirtualNode,DescribeVirtualRouter,DescribeVirtualService,GetMeshPolicy,ListGatewayRoutes,ListMeshes,ListRoutes,ListTagsForResource,ListVirtualGateways,ListVirtualNodes,ListVirtualRouters,ListVirtualServices,PutMeshPolicy,StreamAggregatedResources,TagResource,UntagResource,UpdateGatewayRoute,UpdateMesh,UpdateRoute,UpdateVirtualGateway,UpdateVirtualNode,UpdateVirtualRouter,UpdateVirtualService,mesh,virtualService,virtualNode,virtualRouter,route,virtualGateway,gatewayRoute,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
appmesh-preview;CreateGatewayRoute,CreateMesh,CreateRoute,CreateVirtualGateway,CreateVirtualNode,CreateVirtualRouter,CreateVirtualService,DeleteGatewayRoute,DeleteMesh,DeleteMeshPolicy,DeleteRoute,DeleteVirtualGateway,DeleteVirtualNode,DeleteVirtualRouter,DeleteVirtualService,DescribeGatewayRoute,DescribeMesh,DescribeRoute,DescribeVirtualGateway,DescribeVirtualNode,DescribeVirtualRouter,DescribeVirtualService,GetMeshPolicy,ListGatewayRoutes,ListMeshes,ListRoutes,ListVirtualGateways,ListVirtualNodes,ListVirtualRouters,ListVirtualServices,PutMeshPolicy,StreamAggregatedResources,UpdateGatewayRoute,UpdateMesh,UpdateRoute,UpdateVirtualGateway,UpdateVirtualNode,UpdateVirtualRouter,UpdateVirtualService,mesh,virtualService,virtualNode,virtualRouter,route,virtualGateway,gatewayRoute
apprunner;AssociateCustomDomain,AssociateWebAcl,CreateAutoScalingConfiguration,CreateConnection,CreateObservabilityConfiguration,CreateService,CreateVpcConnector,CreateVpcIngressConnection,DeleteAutoScalingConfiguration,DeleteConnection,DeleteObservabilityConfiguration,DeleteService,DeleteVpcConnector,DeleteVpcIngressConnection,DescribeAutoScalingConfiguration,DescribeCustomDomains,DescribeObservabilityConfiguration,DescribeOperation,DescribeService,DescribeVpcConnector,DescribeVpcIngressConnection,DescribeWebAclForService,DisassociateCustomDomain,DisassociateWebAcl,ListAssociatedServicesForWebAcl,ListAutoScalingConfigurations,ListConnections,ListObservabilityConfigurations,ListOperations,ListServices,ListServicesForAutoScalingConfiguration,ListTagsForResource,ListVpcConnectors,ListVpcIngressConnections,PauseService,ResumeService,StartDeployment,TagResource,UntagResource,UpdateDefaultAutoScalingConfiguration,UpdateService,UpdateVpcIngressConnection,service,connection,autoscalingconfiguration,observabilityconfiguration,vpcconnector,vpcingressconnection,webacl,apprunner:AutoScalingConfigurationArn,apprunner:ConnectionArn,apprunner:ObservabilityConfigurationArn,apprunner:ServiceArn,apprunner:VpcConnectorArn,apprunner:VpcEndpointId,apprunner:VpcId,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
appstudio;GetAccountStatus,GetEnablementJobStatus,StartEnablementJob,StartRollbackEnablementJob,StartTeamDeployment,instance,application,connector
a2c;GetContainerizationJobDetails,GetDeploymentJobDetails,StartContainerizationJob,StartDeploymentJob
appconfig;CreateApplication,CreateConfigurationProfile,CreateDeploymentStrategy,CreateEnvironment,CreateExtension,CreateExtensionAssociation,CreateHostedConfigurationVersion,DeleteApplication,DeleteConfigurationProfile,DeleteDeploymentStrategy,DeleteEnvironment,DeleteExtension,DeleteExtensionAssociation,DeleteHostedConfigurationVersion,GetAccountSettings,GetApplication,GetConfiguration,GetConfigurationProfile,GetDeployment,GetDeploymentStrategy,GetEnvironment,GetExtension,GetExtensionAssociation,GetHostedConfigurationVersion,GetLatestConfiguration,ListApplications,ListConfigurationProfiles,ListDeploymentStrategies,ListDeployments,ListEnvironments,ListExtensionAssociations,ListExtensions,ListHostedConfigurationVersions,ListTagsForResource,StartConfigurationSession,StartDeployment,StopDeployment,TagResource,UntagResource,UpdateAccountSettings,UpdateApplication,UpdateConfigurationProfile,UpdateDeploymentStrategy,UpdateEnvironment,UpdateExtension,UpdateExtensionAssociation,ValidateConfiguration,application,environment,configurationprofile,deploymentstrategy,deployment,hostedconfigurationversion,configuration,extension,extensionassociation,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
appfabric;BatchGetUserAccessTasks,ConnectAppAuthorization,CreateAppAuthorization,CreateAppBundle,CreateIngestion,CreateIngestionDestination,DeleteAppAuthorization,DeleteAppBundle,DeleteIngestion,DeleteIngestionDestination,GetAppAuthorization,GetAppBundle,GetIngestion,GetIngestionDestination,ListAppAuthorizations,ListAppBundles,ListIngestionDestinations,ListIngestions,ListTagsForResource,StartIngestion,StartUserAccessTasks,StopIngestion,TagResource,UntagResource,UpdateAppAuthorization,UpdateIngestionDestination,appbundle,appauthorization,ingestion,ingestiondestination,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
